epoch,step,train/loss,train/reward,val/reward
0,49,2815.08837890625,-3224.055908203125,
0,99,-1631.736328125,-3141.482666015625,
0,149,-233.49371337890625,-3011.7177734375,
0,195,,,-2769.356689453125
1,199,-7644.193359375,-2951.7734375,
1,249,-3008.599609375,-2839.8232421875,
1,299,-500.4850158691406,-2789.69580078125,
1,349,-122.55966186523438,-2753.91796875,
1,391,,,-2651.702880859375
2,399,-2727.862548828125,-2768.97265625,
2,449,-6319.7587890625,-2860.65771484375,
2,499,-1144.1070556640625,-2674.46484375,
2,549,369.26409912109375,-2635.18359375,
2,587,,,-2552.689208984375
